Field of Study,Field of Study 2,Correlation,fos_code,fos2_code,same_broad
"13.01 Education, general","13.13 Teacher education and professional development, specific subject areas",0.9157758545791315,13,13,same
"13.01 Education, general","42.01 Psychology, general",0.9032782988448605,13,42,different
"13.01 Education, general","24.01 Liberal arts and sciences, general studies and humanities",0.8991242685875673,13,24,different
"13.01 Education, general","23.01 English language and literature, general",0.894728473960379,13,23,different
"13.01 Education, general",44.07 Social work,0.8860940513326956,13,44,different
"13.01 Education, general","13.12 Teacher education and professional development, specific levels and methods",0.8806924329874657,13,13,same
"13.01 Education, general",45.11 Sociology,0.8789978589864271,13,45,different
"13.01 Education, general","19.07 Human development, family studies and related services",0.87319170214659,13,19,different
"13.01 Education, general","16.01 Linguistic, comparative and related language studies and services",0.858759100102263,13,16,different
"13.01 Education, general",45.10 Political science and government,0.8575654300306148,13,45,different
"13.02 Bilingual, multilingual and multicultural education",13.09 Social and philosophical foundations of education,0.583884443797697,13,13,same
"13.02 Bilingual, multilingual and multicultural education",13.07 International and comparative education,0.5275933165294864,13,13,same
"13.02 Bilingual, multilingual and multicultural education","16.10 Indigenous languages, literatures, and linguistics of the Americas",0.5153967715867305,13,16,different
"13.02 Bilingual, multilingual and multicultural education","38.00 Philosophy and religious studies, general",0.511221163703537,13,38,different
"13.02 Bilingual, multilingual and multicultural education",13.03 Curriculum and instruction,0.5081939372417557,13,13,same
"13.02 Bilingual, multilingual and multicultural education",13.05 Educational/instructional media design,0.4984470377805294,13,13,same
"13.02 Bilingual, multilingual and multicultural education","13.06 Educational assessment, evaluation and research",0.49632145734546257,13,13,same
"13.02 Bilingual, multilingual and multicultural education","51.32 Health professions education, ethics, and humanities",0.4900232700306572,13,51,different
"13.02 Bilingual, multilingual and multicultural education",30.23 Intercultural/multicultural and diversity studies,0.4861598096853602,13,30,different
"13.02 Bilingual, multilingual and multicultural education",13.04 Educational administration and supervision,0.4380118806285103,13,13,same
13.03 Curriculum and instruction,"13.06 Educational assessment, evaluation and research",0.519515152802938,13,13,same
13.03 Curriculum and instruction,"13.02 Bilingual, multilingual and multicultural education",0.5081939372417557,13,13,same
13.03 Curriculum and instruction,13.04 Educational administration and supervision,0.5019131464721576,13,13,same
13.03 Curriculum and instruction,30.23 Intercultural/multicultural and diversity studies,0.49862226546312516,13,30,different
13.03 Curriculum and instruction,"42.99 Psychology, other",0.48467595533610885,13,42,different
13.03 Curriculum and instruction,"51.32 Health professions education, ethics, and humanities",0.4822556854458243,13,51,different
13.03 Curriculum and instruction,13.14 Teaching English or French as a second or foreign language,0.48183136275349336,13,13,same
13.03 Curriculum and instruction,13.05 Educational/instructional media design,0.47873105522874543,13,13,same
13.03 Curriculum and instruction,30.25 Cognitive science,0.473534108446676,13,30,different
